"","scntfcN","dcmlLtt","dcmlLng","class","order","stratgy","temp_mean","temp_var","temp_autocor","ppt_mean","ppt_var","ppt_autocor","prop_drought","ECO_NAME","BIOME","ECO_ID","ECO_SYM","biome_name"
"1","Lechea intermedia Legg. ex Britton & Hollick",41.224026,-75.169105,"Magnoliopsida","Malvales","complete",8.53346865351607,0.461558322690391,0.281618211373723,1268.89983386528,51990.2615354092,-0.000581135206547231,0.025,"Allegheny Highlands forests",4,50401,75,"Temperate Broadleaf & Mixed Forests"
"2","Lechea intermedia var. intermedia",42.5594,-72.4597,"Magnoliopsida","Malvales","complete",7.63761007495043,0.508855001782637,0.268518108675153,1278.18212146294,35279.9960650943,-0.000805691391698066,0.025,"New England-Acadian forests",4,50410,58,"Temperate Broadleaf & Mixed Forests"
"3","Lechea intermedia Legg. ex Britton & Hollick",41.032339,-74.251897,"Magnoliopsida","Malvales","complete",10.3086589952794,0.57497357581263,0.37411313192094,1267.94155958222,49728.7983002683,-0.000703306925552082,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"4","Lechea intermedia Legg. ex Britton & Hollick",41.008,-74.75,"Magnoliopsida","Malvales","complete",10.0180760127742,0.673994251926358,0.416613975473304,1239.53420499476,61109.5490865532,-0.000577104964807386,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"5","Lechea intermedia Legg. ex Britton & Hollick",42.183333,-72.821667,"Magnoliopsida","Malvales","complete",8.77784419641262,0.504813973046611,0.259258480863979,1271.40676656583,41101.6060537855,-0.000671261534950522,0.025,"New England-Acadian forests",4,50410,58,"Temperate Broadleaf & Mixed Forests"
"6","Lechea intermedia Legg. ex Britton & Hollick",40.705892,-78.035669,"Magnoliopsida","Malvales","complete",9.64535896952559,0.505162263890239,0.297375738185268,1050.97113632574,34758.9344088957,-0.000434886016212058,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"7","Lechea intermedia Legg. ex Britton & Hollick",40.681446,-78.044155,"Magnoliopsida","Malvales","complete",9.54469797087879,0.500790931922329,0.30339643997879,1047.64200350133,33247.4242328363,-0.000444738262189615,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"8","Lechea intermedia Legg. ex Britton & Hollick",42.27055,-71.80777,"Magnoliopsida","Malvales","complete",9.18985162130216,0.537203883135937,0.313813256980164,1226.52926412443,31412.3058247936,-0.000610315738986093,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"9","Lechea intermedia Legg. ex Britton & Hollick",41.88527,-72.26138,"Magnoliopsida","Malvales","complete",9.14313212836661,0.524275941754444,0.292290755630793,1268.65039657965,36394.3485557264,-0.000695051814559896,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"10","Lechea intermedia Legg. ex Britton & Hollick",43.555,-71.60944,"Magnoliopsida","Malvales","complete",6.48910272412184,0.633865238212124,0.295746360386738,1187.38078494188,34923.7466247083,-0.000362323123832658,0.025,"New England-Acadian forests",4,50410,58,"Temperate Broadleaf & Mixed Forests"
"11","Lechea intermedia Legg. ex Britton & Hollick",44.554213,-104.525171,"Magnoliopsida","Malvales","complete",6.61209051783492,0.881120961186929,0.170745206666379,546.944917260147,13315.754990795,-0.000724230508763707,0.4,"South Central Rockies forests",5,50528,70,"Temperate Conifer Forests"
"12","Lechea intermedia Legg. ex Britton & Hollick",42.07722,-71.62944,"Magnoliopsida","Malvales","complete",9.75483938542808,0.459238561934269,0.271069251063039,1261.00915378477,40434.4543637959,-0.000522237100624983,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"13","Lechea intermedia Legg. ex Britton & Hollick",42.07722,-71.62944,"Magnoliopsida","Malvales","complete",9.75483938542808,0.459238561934269,0.271069251063039,1261.00915378477,40434.4543637959,-0.000522237100624983,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"14","Lechea intermedia var. intermedia",41.79055,-72.44277,"Magnoliopsida","Malvales","complete",9.41048087143317,0.569075965225143,0.361616252991355,1184.42048161204,37534.2930771038,-0.000670229879152681,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"15","Lechea intermedia var. intermedia",41.79055,-72.44277,"Magnoliopsida","Malvales","complete",9.41048087143317,0.569075965225143,0.361616252991355,1184.42048161204,37534.2930771038,-0.000670229879152681,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"16","Lechea intermedia Legg. ex Britton & Hollick",42.01777,-71.54111,"Magnoliopsida","Malvales","complete",10.0146199668326,0.461995534200086,0.301644090842086,1293.72256395293,36514.2277829789,-0.00063825486366467,0.025,"Northeastern coastal forests",4,50411,60,"Temperate Broadleaf & Mixed Forests"
"17","Corallorhiza odontorhiza (Willd.) Nutt.",41.237406,-75.810708,"Liliopsida","Asparagales","complete",9.45706381448885,0.522802057040674,0.316538832633666,1118.56882830364,44116.6014374919,-0.000720757486632351,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
"18","Corallorhiza odontorhiza (Willdenow) Poiret",41.054753,-80.459594,"Liliopsida","Asparagales","complete",9.67641746707079,0.56994560172621,0.346708482390146,1030.47525992045,28419.3193470406,-3.22423064784726e-05,0.025,"Southern Great Lakes forests",4,50414,77,"Temperate Broadleaf & Mixed Forests"
"19","Corallorhiza odontorhiza (Willdenow) Poiret",39.704167,-88.034444,"Liliopsida","Asparagales","complete",11.6131712285484,0.547398516144254,0.165041746368577,1041.28262999,21861.274166881,-0.000187493900582238,0.025,"Central forest-grasslands transition",8,50804,245,"Temperate Grasslands, Savannas & Shrublands"
"20","Corallorhiza odontorhiza (Willdenow) Poiret",39.608884,-80.508637,"Liliopsida","Asparagales","complete",10.154683368962,0.615460644317043,0.491329071489475,1196.45802418778,42936.6839600659,-0.000270878927600628,0.025,"Appalachian mixed mesophytic forests",4,50402,74,"Temperate Broadleaf & Mixed Forests"
"21","Corallorhiza odontorhiza (Willdenow) Poiret",40.616111,-82.298889,"Liliopsida","Asparagales","complete",9.56032476192567,0.597142978201131,0.34371397263908,1044.05483934356,27066.2524670004,-0.000677035447114999,0.025,"Southern Great Lakes forests",4,50414,77,"Temperate Broadleaf & Mixed Forests"
"22","Corallorhiza odontorhiza (Willdenow) Poiret",40.619167,-77.846389,"Liliopsida","Asparagales","complete",10.1533492018537,0.504133309340901,0.306099912043665,997.866608410347,35816.0824899681,-0.000397695117161213,0.025,"Appalachian-Blue Ridge forests",4,50403,61,"Temperate Broadleaf & Mixed Forests"
